experiment,scope,extra_docs,trial,query_mode,relevance,probe_node_id,probe_doc_id,pool_docs,pool_chunks,query_preview,mrr,first_relevant_rank,recall_at_1,recall_at_5,recall_at_10
corpus_decay,IAEA_only,0,0,first_sentence,strict,34d4e362-bbbb-4265-aa32-8e850a3d6a22,Modernization_of_I_C_in_Nuclear_Power_Plants_199_237c222c1b,13,5896,The new requirements can have an impact on safety of the plant.,1.0,1.0,1.0,1.0,1.0
corpus_decay,IAEA_only,0,0,first_sentence,relaxed_doc,34d4e362-bbbb-4265-aa32-8e850a3d6a22,Modernization_of_I_C_in_Nuclear_Power_Plants_199_237c222c1b,13,5896,The new requirements can have an impact on safety of the plant.,1.0,1.0,1.0,1.0,1.0
corpus_decay,IAEA_only,0,0,first_sentence,strict,e3ba6e27-da53-4453-b77f-bc5052350e85,Core_Knowledge_on_Instrumentation_and_Control_Sy_a366e319cd,13,5896,". For example, the use of OLM to demonstrate that a sensor has not drifted since the last time it was calibrated can be ",1.0,1.0,1.0,1.0,1.0
corpus_decay,IAEA_only,0,0,first_sentence,relaxed_doc,e3ba6e27-da53-4453-b77f-bc5052350e85,Core_Knowledge_on_Instrumentation_and_Control_Sy_a366e319cd,13,5896,". For example, the use of OLM to demonstrate that a sensor has not drifted since the last time it was calibrated can be ",1.0,1.0,1.0,1.0,1.0
corpus_decay,IAEA_only,0,0,first_sentence,strict,2c0a9ea1-bc1f-4101-856f-842e03011b85,Advanced_Surveillance_ae2b264b97,13,5896,"*FIG. 56. Magnetic leakage flux from residual magnetization.*

An example of the distribution of the normal component of",1.0,1.0,1.0,1.0,1.0
corpus_decay,IAEA_only,0,0,first_sentence,relaxed_doc,2c0a9ea1-bc1f-4101-856f-842e03011b85,Advanced_Surveillance_ae2b264b97,13,5896,"*FIG. 56. Magnetic leakage flux from residual magnetization.*

An example of the distribution of the normal component of",1.0,1.0,1.0,1.0,1.0
corpus_decay,IAEA_only,0,0,first_sentence,strict,6aab85ee-6806-41de-b94c-e6ad607aeb6e,IAEA_On_line_Monitoring_for_Improving_Performanc_031d257843,13,5896,"### 2.2. STATIC TESTING OF PROCESS INSTRUMENTS IN NUCLEAR POWER PLANTS As mentioned before, the nuclear power industry a",1.0,1.0,1.0,1.0,1.0
corpus_decay,IAEA_only,0,0,first_sentence,relaxed_doc,6aab85ee-6806-41de-b94c-e6ad607aeb6e,IAEA_On_line_Monitoring_for_Improving_Performanc_031d257843,13,5896,"### 2.2. STATIC TESTING OF PROCESS INSTRUMENTS IN NUCLEAR POWER PLANTS As mentioned before, the nuclear power industry a",1.0,1.0,1.0,1.0,1.0
corpus_decay,IAEA_only,0,0,first_sentence,strict,7f92814c-be93-41de-a867-a29058d32834,Digital_I_C_and_Advanced_Digital_Technologies_fo_84e1c2a466,13,5896,"The technology achieves this reliability by combining a thermodynamic digital twin of the secondary circuit, including n",1.0,1.0,1.0,1.0,1.0
corpus_decay,IAEA_only,0,0,first_sentence,relaxed_doc,7f92814c-be93-41de-a867-a29058d32834,Digital_I_C_and_Advanced_Digital_Technologies_fo_84e1c2a466,13,5896,"The technology achieves this reliability by combining a thermodynamic digital twin of the secondary circuit, including n",1.0,1.0,1.0,1.0,1.0
corpus_decay,IAEA_only,0,0,first_sentence,strict,d0de596e-a844-4132-b73b-81e74604204e,Digital_I_C_and_Advanced_Digital_Technologies_fo_84e1c2a466,13,5896,![](_page_47_Figure_12.jpeg) *FIG.,0.0,0.0,0.0,0.0,0.0
corpus_decay,IAEA_only,0,0,first_sentence,relaxed_doc,d0de596e-a844-4132-b73b-81e74604204e,Digital_I_C_and_Advanced_Digital_Technologies_fo_84e1c2a466,13,5896,![](_page_47_Figure_12.jpeg) *FIG.,0.0,0.0,0.0,0.0,0.0
corpus_decay,IAEA_only,0,0,first_sentence,strict,3788c630-f042-45be-83f4-3166c05cc77c,Core_Knowledge_on_Instrumentation_and_Control_Sy_a366e319cd,13,5896,"Plants<br>Implementing Digital I&C Systems in the Modernization of Nuclear Power Plants<br>Maintenance, Periodic Testing",0.0,0.0,0.0,0.0,0.0
