experiment,scope,extra_docs,trial,query_mode,relevance,probe_node_id,probe_doc_id,pool_docs,pool_chunks,query_preview,mrr,first_relevant_rank,recall_at_1,recall_at_5,recall_at_10
corpus_decay,IAEA_only,0,0,first_sentence,strict,a7ace8d6-3826-47f9-a8d6-8aeeb5715901,Design_of_Instrumentation_and_Control_Systems_fo_0f51c754f8,13,17959,| 9.<br>SOFTWARE .,0.0,0.0,0.0,0.0,0.0
corpus_decay,IAEA_only,0,0,first_sentence,relaxed_doc,a7ace8d6-3826-47f9-a8d6-8aeeb5715901,Design_of_Instrumentation_and_Control_Systems_fo_0f51c754f8,13,17959,| 9.<br>SOFTWARE .,0.0,0.0,0.0,0.0,0.0
corpus_decay,IAEA_only,0,0,first_sentence,strict,1e93460c-58c9-4f86-96bd-15377309df60,Advanced_Surveillance_ae2b264b97,13,17959,"- Condition monitoring contractors will need to adopt a 'consultant' mind set, rather than a traditional contractor mind",1.0,1.0,1.0,1.0,1.0
corpus_decay,IAEA_only,0,0,first_sentence,relaxed_doc,1e93460c-58c9-4f86-96bd-15377309df60,Advanced_Surveillance_ae2b264b97,13,17959,"- Condition monitoring contractors will need to adopt a 'consultant' mind set, rather than a traditional contractor mind",1.0,1.0,1.0,1.0,1.0
corpus_decay,IAEA_only,0,0,first_sentence,strict,977f703b-4516-4f57-a87c-6df8b3f98cff,IAEA_On_line_Monitoring_for_Improving_Performanc_8151b37d06,13,17959,". Typically, the second and third modes, i.e.",1.0,1.0,1.0,1.0,1.0
corpus_decay,IAEA_only,0,0,first_sentence,relaxed_doc,977f703b-4516-4f57-a87c-6df8b3f98cff,IAEA_On_line_Monitoring_for_Improving_Performanc_8151b37d06,13,17959,". Typically, the second and third modes, i.e.",1.0,1.0,1.0,1.0,1.0
corpus_decay,IAEA_only,0,0,first_sentence,strict,de146788-8ba8-4d2f-bc66-df533c50f0ae,IAEA_On_line_Monitoring_for_Improving_Performanc_031d257843,13,17959,| 1AB-P-0516-W | Good | | administrator | | 5 | MAIN STEAM PRESSURE LOOP 1,0.0,0.0,0.0,0.0,0.0
corpus_decay,IAEA_only,0,0,first_sentence,relaxed_doc,de146788-8ba8-4d2f-bc66-df533c50f0ae,IAEA_On_line_Monitoring_for_Improving_Performanc_031d257843,13,17959,| 1AB-P-0516-W | Good | | administrator | | 5 | MAIN STEAM PRESSURE LOOP 1,0.0,0.0,0.0,0.0,0.0
corpus_decay,IAEA_only,0,0,first_sentence,strict,c42d2bb8-989d-40ea-8fb3-ca12441b93a8,IAEA_On_line_Monitoring_for_Improving_Performanc_031d257843,13,17959,"including design and implementation of the OLM system, calculations for determining process PEs, acceptance criteria, ev",0.0,0.0,0.0,0.0,0.0
corpus_decay,IAEA_only,0,0,first_sentence,relaxed_doc,c42d2bb8-989d-40ea-8fb3-ca12441b93a8,IAEA_On_line_Monitoring_for_Improving_Performanc_031d257843,13,17959,"including design and implementation of the OLM system, calculations for determining process PEs, acceptance criteria, ev",1.0,1.0,1.0,1.0,1.0
corpus_decay,IAEA_only,0,0,first_sentence,strict,6934265e-d5b0-493d-a05d-671cf93f0898,Design_of_Instrumentation_and_Control_Systems_fo_0f51c754f8,13,17959,III–12. There is general agreement that a diverse actuation system may effectively mitigate the consequences of specific,1.0,1.0,1.0,1.0,1.0
corpus_decay,IAEA_only,0,0,first_sentence,relaxed_doc,6934265e-d5b0-493d-a05d-671cf93f0898,Design_of_Instrumentation_and_Control_Systems_fo_0f51c754f8,13,17959,III–12. There is general agreement that a diverse actuation system may effectively mitigate the consequences of specific,1.0,1.0,1.0,1.0,1.0
corpus_decay,IAEA_only,0,0,first_sentence,strict,3ff93d41-b648-446d-9359-26206ec055fb,Core_Knowledge_on_Instrumentation_and_Control_Sy_a366e319cd,13,17959,| 392. | IEEE | IEEE Std C62.41.1 | IEEE Guide on the Surge Environment in Low-Voltage (1000 V and Less) AC Power Circui,1.0,1.0,1.0,1.0,1.0
corpus_decay,IAEA_only,0,0,first_sentence,relaxed_doc,3ff93d41-b648-446d-9359-26206ec055fb,Core_Knowledge_on_Instrumentation_and_Control_Sy_a366e319cd,13,17959,| 392. | IEEE | IEEE Std C62.41.1 | IEEE Guide on the Surge Environment in Low-Voltage (1000 V and Less) AC Power Circui,1.0,1.0,1.0,1.0,1.0
corpus_decay,IAEA_only,0,0,first_sentence,strict,faffb9cf-2de5-40ae-83d2-a95e6b349f75,Operational_Limits_and_Conditions_and_Operating__53a7e3bde1,13,17959,. Additional conditions should be specified in the OLC documentation to identify the cooling systems that need to be ope,1.0,1.0,1.0,1.0,1.0
corpus_decay,IAEA_only,0,0,first_sentence,relaxed_doc,faffb9cf-2de5-40ae-83d2-a95e6b349f75,Operational_Limits_and_Conditions_and_Operating__53a7e3bde1,13,17959,. Additional conditions should be specified in the OLC documentation to identify the cooling systems that need to be ope,1.0,1.0,1.0,1.0,1.0
corpus_decay,IAEA_only,0,0,first_sentence,strict,8028858d-09d7-461b-a92e-cb082cf6fc31,Core_Knowledge_on_Instrumentation_and_Control_Sy_a366e319cd,13,17959,| Guidelines for the Verification and Validation of Expert System Software and Conventional Software | December 1994 | |,0.0,0.0,0.0,0.0,0.0
corpus_decay,IAEA_only,0,0,first_sentence,relaxed_doc,8028858d-09d7-461b-a92e-cb082cf6fc31,Core_Knowledge_on_Instrumentation_and_Control_Sy_a366e319cd,13,17959,| Guidelines for the Verification and Validation of Expert System Software and Conventional Software | December 1994 | |,0.0,0.0,0.0,0.0,0.0
