experiment,scope,extra_docs,trial,query_mode,relevance,probe_node_id,probe_doc_id,pool_docs,pool_chunks,query_preview,mrr,first_relevant_rank,recall_at_1,recall_at_5,recall_at_10
corpus_decay,IAEA_only,0,0,first_sentence,strict,231a2c0e-5aac-4f48-a5ae-f6424041fda9,Modernization_of_I_C_in_Nuclear_Power_Plants_199_237c222c1b,13,11309,The test panel which is assigned a part of operator console in real NPPs is required.,1.0,1.0,1.0,1.0,1.0
corpus_decay,IAEA_only,0,0,first_sentence,relaxed_doc,231a2c0e-5aac-4f48-a5ae-f6424041fda9,Modernization_of_I_C_in_Nuclear_Power_Plants_199_237c222c1b,13,11309,The test panel which is assigned a part of operator console in real NPPs is required.,1.0,1.0,1.0,1.0,1.0
corpus_decay,IAEA_only,0,0,first_sentence,strict,4e1ea7ab-f224-4c42-b6ba-2b7e5e6600fd,Core_Knowledge_on_Instrumentation_and_Control_Sy_a366e319cd,13,11309,**microprocessor.** (See computer above.) **noise diagnostic system.** System designed to monitor and analyse the fluctu,1.0,1.0,1.0,1.0,1.0
corpus_decay,IAEA_only,0,0,first_sentence,relaxed_doc,4e1ea7ab-f224-4c42-b6ba-2b7e5e6600fd,Core_Knowledge_on_Instrumentation_and_Control_Sy_a366e319cd,13,11309,**microprocessor.** (See computer above.) **noise diagnostic system.** System designed to monitor and analyse the fluctu,1.0,1.0,1.0,1.0,1.0
corpus_decay,IAEA_only,0,0,first_sentence,strict,a38ef8bd-858d-4364-bd8f-548c4c635880,Advanced_Surveillance_ae2b264b97,13,11309,The decision to implement an OLM system will result in a trade off between all these factors.,1.0,1.0,1.0,1.0,1.0
corpus_decay,IAEA_only,0,0,first_sentence,relaxed_doc,a38ef8bd-858d-4364-bd8f-548c4c635880,Advanced_Surveillance_ae2b264b97,13,11309,The decision to implement an OLM system will result in a trade off between all these factors.,1.0,1.0,1.0,1.0,1.0
corpus_decay,IAEA_only,0,0,first_sentence,strict,fff163c1-1b93-4050-8ee9-d5aee1542dd5,IAEA_On_line_Monitoring_for_Improving_Performanc_031d257843,13,11309,". They were, nevertheless, included in the table because they generally play a role in arriving at instrument channel un",0.5,2.0,0.0,1.0,1.0
corpus_decay,IAEA_only,0,0,first_sentence,relaxed_doc,fff163c1-1b93-4050-8ee9-d5aee1542dd5,IAEA_On_line_Monitoring_for_Improving_Performanc_031d257843,13,11309,". They were, nevertheless, included in the table because they generally play a role in arriving at instrument channel un",0.5,2.0,0.0,1.0,1.0
corpus_decay,IAEA_only,0,0,first_sentence,strict,540c3ce3-068c-4afd-a862-08d29be53556,Digital_I_C_and_Advanced_Digital_Technologies_fo_84e1c2a466,13,11309,"*FIG. VI–1. Tagout order transformation from paper to mobile device (courtesy of P. Nekula, CEZ Group, Czech Republic).*",1.0,1.0,1.0,1.0,1.0
corpus_decay,IAEA_only,0,0,first_sentence,relaxed_doc,540c3ce3-068c-4afd-a862-08d29be53556,Digital_I_C_and_Advanced_Digital_Technologies_fo_84e1c2a466,13,11309,"*FIG. VI–1. Tagout order transformation from paper to mobile device (courtesy of P. Nekula, CEZ Group, Czech Republic).*",1.0,1.0,1.0,1.0,1.0
corpus_decay,IAEA_only,0,0,first_sentence,strict,7edfd53d-9bf6-4df6-a229-08b5738b9983,Digital_I_C_and_Advanced_Digital_Technologies_fo_84e1c2a466,13,11309,"- [82] INTERNATIONAL ATOMIC ENERGY AGENCY, Safe Use of Smart Devices in Systems Important to Safety in Nuclear Power Pla",0.0,0.0,0.0,0.0,0.0
corpus_decay,IAEA_only,0,0,first_sentence,relaxed_doc,7edfd53d-9bf6-4df6-a229-08b5738b9983,Digital_I_C_and_Advanced_Digital_Technologies_fo_84e1c2a466,13,11309,"- [82] INTERNATIONAL ATOMIC ENERGY AGENCY, Safe Use of Smart Devices in Systems Important to Safety in Nuclear Power Pla",0.0,0.0,0.0,0.0,0.0
corpus_decay,IAEA_only,0,0,first_sentence,strict,3bdf936c-0d8f-4633-8e7a-a12e18666c2b,Core_Knowledge_on_Instrumentation_and_Control_Sy_a366e319cd,13,11309,"| 460. | USDOE | DOE-HDBK-1013/1-92 | DOE Fundamentals Handbook, Instrumentation and Control, Volume 1 and 2 | 1992 |",0.25,4.0,0.0,1.0,1.0
corpus_decay,IAEA_only,0,0,first_sentence,relaxed_doc,3bdf936c-0d8f-4633-8e7a-a12e18666c2b,Core_Knowledge_on_Instrumentation_and_Control_Sy_a366e319cd,13,11309,"| 460. | USDOE | DOE-HDBK-1013/1-92 | DOE Fundamentals Handbook, Instrumentation and Control, Volume 1 and 2 | 1992 |",1.0,1.0,1.0,1.0,1.0
corpus_decay,IAEA_only,0,0,first_sentence,strict,d1e0080e-9e2e-4465-8678-396d23acad16,Core_Knowledge_on_Instrumentation_and_Control_Sy_a366e319cd,13,11309,An I&C system should be classified as an obsolete system when at least some of the following problems occur: - I&C syste,1.0,1.0,1.0,1.0,1.0
corpus_decay,IAEA_only,0,0,first_sentence,relaxed_doc,d1e0080e-9e2e-4465-8678-396d23acad16,Core_Knowledge_on_Instrumentation_and_Control_Sy_a366e319cd,13,11309,An I&C system should be classified as an obsolete system when at least some of the following problems occur: - I&C syste,1.0,1.0,1.0,1.0,1.0
corpus_decay,IAEA_only,0,0,first_sentence,strict,905013d6-4e11-4d51-b8c3-574b62c78e64,Operational_Limits_and_Conditions_and_Operating__53a7e3bde1,13,11309,. Extraneous material presented in annexes is excerpted and adapted as necessary to be generally useful.,0.14285714285714285,7.0,0.0,0.0,1.0
corpus_decay,IAEA_only,0,0,first_sentence,relaxed_doc,905013d6-4e11-4d51-b8c3-574b62c78e64,Operational_Limits_and_Conditions_and_Operating__53a7e3bde1,13,11309,. Extraneous material presented in annexes is excerpted and adapted as necessary to be generally useful.,0.25,4.0,0.0,1.0,1.0
corpus_decay,IAEA_only,0,0,first_sentence,strict,cc990280-29aa-4720-8ae4-64d276ae6f22,Modern_Instrumentation_and_Control_for_Npps_c73a7d901e,13,11309,"- The desks and panels must be arranged to minimize interference to the operators during maintenance, testing and functi",1.0,1.0,1.0,1.0,1.0
corpus_decay,IAEA_only,0,0,first_sentence,relaxed_doc,cc990280-29aa-4720-8ae4-64d276ae6f22,Modern_Instrumentation_and_Control_for_Npps_c73a7d901e,13,11309,"- The desks and panels must be arranged to minimize interference to the operators during maintenance, testing and functi",1.0,1.0,1.0,1.0,1.0
corpus_decay,IAEA_only,0,0,first_sentence,strict,262ba4a2-a7d9-49fe-824d-4899e2e25c42,Core_Knowledge_on_Instrumentation_and_Control_Sy_a366e319cd,13,11309,#### *2.5.2.2.,0.0,0.0,0.0,0.0,0.0
corpus_decay,IAEA_only,0,0,first_sentence,relaxed_doc,262ba4a2-a7d9-49fe-824d-4899e2e25c42,Core_Knowledge_on_Instrumentation_and_Control_Sy_a366e319cd,13,11309,#### *2.5.2.2.,0.0,0.0,0.0,0.0,0.0
corpus_decay,IAEA_only,0,0,first_sentence,strict,28dd5b41-c9c7-4c2c-a258-4f92637cd2c0,Modernization_of_I_C_in_Nuclear_Power_Plants_199_237c222c1b,13,11309,| | | | | | | 4.1.,0.0,0.0,0.0,0.0,0.0
corpus_decay,IAEA_only,0,0,first_sentence,relaxed_doc,28dd5b41-c9c7-4c2c-a258-4f92637cd2c0,Modernization_of_I_C_in_Nuclear_Power_Plants_199_237c222c1b,13,11309,| | | | | | | 4.1.,0.0,0.0,0.0,0.0,0.0
corpus_decay,IAEA_only,0,0,first_sentence,strict,a2e2e448-b2fe-43f0-96ec-49a7b1e8c3ea,Maintenance_Testing_Surveillance_and_Inspection__6afa4aa1fe,13,11309,- (f) To specify the necessary qualifications and training of personnel performing surveillance activities; - (g) To ind,1.0,1.0,1.0,1.0,1.0
corpus_decay,IAEA_only,0,0,first_sentence,relaxed_doc,a2e2e448-b2fe-43f0-96ec-49a7b1e8c3ea,Maintenance_Testing_Surveillance_and_Inspection__6afa4aa1fe,13,11309,- (f) To specify the necessary qualifications and training of personnel performing surveillance activities; - (g) To ind,1.0,1.0,1.0,1.0,1.0
corpus_decay,IAEA_only,0,0,first_sentence,strict,f3bc8ce7-427a-433a-ba95-315260b8bfba,Advanced_Surveillance_ae2b264b97,13,11309,#### **5.7.4.,0.0,0.0,0.0,0.0,0.0
