model,chunk_size,chunk_overlap,query_id,query,family,language,extra_docs,trial,top1_score,top10_mean_score,iaea_priority_top10,first_iaea_rank
sentence-transformers/all-MiniLM-L6-v2,800,80,baseline_zh_core,中子,baseline,zh,25,1,0.2632147967815399,0.23708149790763855,0.2,1
sentence-transformers/all-MiniLM-L6-v2,800,80,baseline_zh_core,中子,baseline,zh,25,2,0.2632147967815399,0.23192918300628662,0.4,1
sentence-transformers/all-MiniLM-L6-v2,800,80,baseline_zh_core,中子,baseline,zh,25,3,0.2632147967815399,0.2325419932603836,0.3,1
sentence-transformers/all-MiniLM-L6-v2,800,80,baseline_zh_core,中子,baseline,zh,25,4,0.2632147967815399,0.23655717074871063,0.3,1
sentence-transformers/all-MiniLM-L6-v2,800,80,baseline_zh_core,中子,baseline,zh,25,5,0.2632147967815399,0.2258538454771042,0.4,1
sentence-transformers/all-MiniLM-L6-v2,800,80,baseline_zh_core,中子,baseline,zh,25,6,0.2632147967815399,0.2387409508228302,0.2,1
sentence-transformers/all-MiniLM-L6-v2,800,80,baseline_zh_core,中子,baseline,zh,25,7,0.2632147967815399,0.2459651678800583,0.2,1
sentence-transformers/all-MiniLM-L6-v2,800,80,baseline_zh_core,中子,baseline,zh,25,8,0.2632147967815399,0.24429063498973846,0.2,1
sentence-transformers/all-MiniLM-L6-v2,800,80,baseline_zh_core,中子,baseline,zh,25,9,0.2632147967815399,0.23889818787574768,0.2,1
sentence-transformers/all-MiniLM-L6-v2,800,80,baseline_zh_core,中子,baseline,zh,30,0,0.2632147967815399,0.2390744686126709,0.2,1
sentence-transformers/all-MiniLM-L6-v2,800,80,baseline_zh_core,中子,baseline,zh,30,1,0.2632147967815399,0.23726482689380646,0.3,1
sentence-transformers/all-MiniLM-L6-v2,800,80,baseline_zh_core,中子,baseline,zh,30,2,0.2632147967815399,0.23696961998939514,0.2,1
sentence-transformers/all-MiniLM-L6-v2,800,80,baseline_zh_core,中子,baseline,zh,30,3,0.2632147967815399,0.23750202357769012,0.3,1
sentence-transformers/all-MiniLM-L6-v2,800,80,baseline_zh_core,中子,baseline,zh,30,4,0.2632147967815399,0.2352387011051178,0.2,1
sentence-transformers/all-MiniLM-L6-v2,800,80,baseline_zh_core,中子,baseline,zh,30,5,0.2632147967815399,0.24153295159339905,0.2,1
sentence-transformers/all-MiniLM-L6-v2,800,80,baseline_zh_core,中子,baseline,zh,30,6,0.2632147967815399,0.23181509971618652,0.4,1
sentence-transformers/all-MiniLM-L6-v2,800,80,baseline_zh_core,中子,baseline,zh,30,7,0.2632147967815399,0.2328912317752838,0.2,1
sentence-transformers/all-MiniLM-L6-v2,800,80,baseline_zh_core,中子,baseline,zh,30,8,0.2632147967815399,0.24499066174030304,0.2,1
sentence-transformers/all-MiniLM-L6-v2,800,80,baseline_zh_core,中子,baseline,zh,30,9,0.2632147967815399,0.23669762909412384,0.2,1
sentence-transformers/all-MiniLM-L6-v2,800,80,baseline_zh_core,中子,baseline,zh,35,0,0.2632147967815399,0.2447267770767212,0.2,1
sentence-transformers/all-MiniLM-L6-v2,800,80,baseline_zh_core,中子,baseline,zh,35,1,0.2632147967815399,0.241780087351799,0.2,1
sentence-transformers/all-MiniLM-L6-v2,800,80,baseline_zh_core,中子,baseline,zh,35,2,0.2632147967815399,0.24330905079841614,0.2,1
sentence-transformers/all-MiniLM-L6-v2,800,80,baseline_zh_core,中子,baseline,zh,35,3,0.2632147967815399,0.24012228846549988,0.2,1
sentence-transformers/all-MiniLM-L6-v2,800,80,baseline_zh_core,中子,baseline,zh,35,4,0.2632147967815399,0.24499066174030304,0.2,1
sentence-transformers/all-MiniLM-L6-v2,800,80,baseline_zh_core,中子,baseline,zh,35,5,0.2632147967815399,0.24117445945739746,0.2,1
sentence-transformers/all-MiniLM-L6-v2,800,80,baseline_zh_core,中子,baseline,zh,35,6,0.2632147967815399,0.24109677970409393,0.2,1
sentence-transformers/all-MiniLM-L6-v2,800,80,baseline_zh_core,中子,baseline,zh,35,7,0.2632147967815399,0.24661190807819366,0.2,1
sentence-transformers/all-MiniLM-L6-v2,800,80,baseline_zh_core,中子,baseline,zh,35,8,0.2632147967815399,0.24661190807819366,0.2,1
sentence-transformers/all-MiniLM-L6-v2,800,80,baseline_zh_core,中子,baseline,zh,35,9,0.2632147967815399,0.24661190807819366,0.2,1
sentence-transformers/all-MiniLM-L6-v2,800,80,baseline_zh_core,中子,baseline,zh,40,0,0.2632147967815399,0.24661190807819366,0.2,1
sentence-transformers/all-MiniLM-L6-v2,800,80,baseline_zh_core,中子,baseline,zh,40,1,0.2632147967815399,0.24661190807819366,0.2,1
sentence-transformers/all-MiniLM-L6-v2,800,80,baseline_zh_core,中子,baseline,zh,40,2,0.2632147967815399,0.24563738703727722,0.2,1
sentence-transformers/all-MiniLM-L6-v2,800,80,baseline_zh_core,中子,baseline,zh,40,3,0.2632147967815399,0.24661190807819366,0.2,1
sentence-transformers/all-MiniLM-L6-v2,800,80,baseline_zh_core,中子,baseline,zh,40,4,0.2632147967815399,0.24563738703727722,0.2,1
sentence-transformers/all-MiniLM-L6-v2,800,80,baseline_zh_core,中子,baseline,zh,40,5,0.2632147967815399,0.24661190807819366,0.2,1
sentence-transformers/all-MiniLM-L6-v2,800,80,baseline_zh_core,中子,baseline,zh,40,6,0.2632147967815399,0.24609215557575226,0.2,1
sentence-transformers/all-MiniLM-L6-v2,800,80,baseline_zh_core,中子,baseline,zh,40,7,0.2632147967815399,0.24493734538555145,0.2,1
sentence-transformers/all-MiniLM-L6-v2,800,80,baseline_zh_core,中子,baseline,zh,40,8,0.2632147967815399,0.24661190807819366,0.2,1
sentence-transformers/all-MiniLM-L6-v2,800,80,baseline_zh_core,中子,baseline,zh,40,9,0.2632147967815399,0.24609215557575226,0.2,1
sentence-transformers/all-MiniLM-L6-v2,800,80,baseline_zh_core,中子,baseline,zh,45,0,0.2632147967815399,0.24357199668884277,0.2,1
sentence-transformers/all-MiniLM-L6-v2,800,80,baseline_zh_core,中子,baseline,zh,45,1,0.2632147967815399,0.24330905079841614,0.2,1
sentence-transformers/all-MiniLM-L6-v2,800,80,baseline_zh_core,中子,baseline,zh,45,2,0.2632147967815399,0.24661190807819366,0.2,1
sentence-transformers/all-MiniLM-L6-v2,800,80,baseline_zh_core,中子,baseline,zh,45,3,0.2632147967815399,0.24493734538555145,0.2,1
sentence-transformers/all-MiniLM-L6-v2,800,80,baseline_zh_core,中子,baseline,zh,45,4,0.2632147967815399,0.2452465295791626,0.2,1
sentence-transformers/all-MiniLM-L6-v2,800,80,baseline_zh_core,中子,baseline,zh,45,5,0.2632147967815399,0.24661190807819366,0.2,1
sentence-transformers/all-MiniLM-L6-v2,800,80,baseline_zh_core,中子,baseline,zh,45,6,0.2632147967815399,0.24045392870903015,0.2,1
sentence-transformers/all-MiniLM-L6-v2,800,80,baseline_zh_core,中子,baseline,zh,45,7,0.2632147967815399,0.24661190807819366,0.2,1
sentence-transformers/all-MiniLM-L6-v2,800,80,baseline_zh_core,中子,baseline,zh,45,8,0.2632147967815399,0.24661190807819366,0.2,1
sentence-transformers/all-MiniLM-L6-v2,800,80,baseline_zh_core,中子,baseline,zh,45,9,0.2632147967815399,0.24661190807819366,0.2,1
sentence-transformers/all-MiniLM-L6-v2,800,80,baseline_zh_core,中子,baseline,zh,50,0,0.2632147967815399,0.24563738703727722,0.2,1
sentence-transformers/all-MiniLM-L6-v2,800,80,baseline_zh_core,中子,baseline,zh,50,1,0.2632147967815399,0.24661190807819366,0.2,1
sentence-transformers/all-MiniLM-L6-v2,800,80,baseline_zh_core,中子,baseline,zh,50,2,0.2632147967815399,0.24661190807819366,0.2,1
sentence-transformers/all-MiniLM-L6-v2,800,80,baseline_zh_core,中子,baseline,zh,50,3,0.2632147967815399,0.24661190807819366,0.2,1
sentence-transformers/all-MiniLM-L6-v2,800,80,baseline_zh_core,中子,baseline,zh,50,4,0.2632147967815399,0.24661190807819366,0.2,1
sentence-transformers/all-MiniLM-L6-v2,800,80,baseline_zh_core,中子,baseline,zh,50,5,0.2632147967815399,0.24493734538555145,0.2,1
sentence-transformers/all-MiniLM-L6-v2,800,80,baseline_zh_core,中子,baseline,zh,50,6,0.2632147967815399,0.24661190807819366,0.2,1
sentence-transformers/all-MiniLM-L6-v2,800,80,baseline_zh_core,中子,baseline,zh,50,7,0.2632147967815399,0.24661190807819366,0.2,1
sentence-transformers/all-MiniLM-L6-v2,800,80,baseline_zh_core,中子,baseline,zh,50,8,0.2632147967815399,0.241780087351799,0.2,1
sentence-transformers/all-MiniLM-L6-v2,800,80,baseline_zh_core,中子,baseline,zh,50,9,0.2632147967815399,0.24661190807819366,0.2,1
sentence-transformers/all-MiniLM-L6-v2,800,80,baseline_zh_core,中子,baseline,zh,51,0,0.2632147967815399,0.24661190807819366,0.2,1
sentence-transformers/all-MiniLM-L6-v2,800,80,baseline_zh_core,中子,baseline,zh,51,1,0.2632147967815399,0.24661190807819366,0.2,1
sentence-transformers/all-MiniLM-L6-v2,800,80,baseline_zh_core,中子,baseline,zh,51,2,0.2632147967815399,0.24661190807819366,0.2,1
sentence-transformers/all-MiniLM-L6-v2,800,80,baseline_zh_core,中子,baseline,zh,51,3,0.2632147967815399,0.24661190807819366,0.2,1
sentence-transformers/all-MiniLM-L6-v2,800,80,baseline_zh_core,中子,baseline,zh,51,4,0.2632147967815399,0.24661190807819366,0.2,1
sentence-transformers/all-MiniLM-L6-v2,800,80,baseline_zh_core,中子,baseline,zh,51,5,0.2632147967815399,0.24661190807819366,0.2,1
sentence-transformers/all-MiniLM-L6-v2,800,80,baseline_zh_core,中子,baseline,zh,51,6,0.2632147967815399,0.24661190807819366,0.2,1
sentence-transformers/all-MiniLM-L6-v2,800,80,baseline_zh_core,中子,baseline,zh,51,7,0.2632147967815399,0.24661190807819366,0.2,1
sentence-transformers/all-MiniLM-L6-v2,800,80,baseline_zh_core,中子,baseline,zh,51,8,0.2632147967815399,0.24661190807819366,0.2,1
sentence-transformers/all-MiniLM-L6-v2,800,80,baseline_zh_core,中子,baseline,zh,51,9,0.2632147967815399,0.24661190807819366,0.2,1
sentence-transformers/all-MiniLM-L6-v2,800,80,baseline_en_core,neutron,baseline,en,0,0,0.6281368136405945,0.543728232383728,1.0,1
sentence-transformers/all-MiniLM-L6-v2,800,80,baseline_en_core,neutron,baseline,en,5,0,0.6281368136405945,0.5538701415061951,0.7,1
sentence-transformers/all-MiniLM-L6-v2,800,80,baseline_en_core,neutron,baseline,en,5,1,0.6281368136405945,0.5517697930335999,0.7,1
sentence-transformers/all-MiniLM-L6-v2,800,80,baseline_en_core,neutron,baseline,en,5,2,0.6281368136405945,0.5463794469833374,0.9,1
sentence-transformers/all-MiniLM-L6-v2,800,80,baseline_en_core,neutron,baseline,en,5,3,0.6281368136405945,0.5627781748771667,0.7,1
sentence-transformers/all-MiniLM-L6-v2,800,80,baseline_en_core,neutron,baseline,en,5,4,0.6281368136405945,0.5554308295249939,0.7,1
sentence-transformers/all-MiniLM-L6-v2,800,80,baseline_en_core,neutron,baseline,en,5,5,0.6281368136405945,0.5563324689865112,0.7,1
sentence-transformers/all-MiniLM-L6-v2,800,80,baseline_en_core,neutron,baseline,en,5,6,0.6281368136405945,0.5508016347885132,0.7,1
sentence-transformers/all-MiniLM-L6-v2,800,80,baseline_en_core,neutron,baseline,en,5,7,0.6281368136405945,0.5565012097358704,0.6,1
sentence-transformers/all-MiniLM-L6-v2,800,80,baseline_en_core,neutron,baseline,en,5,8,0.6281368136405945,0.5612775087356567,0.7,1
sentence-transformers/all-MiniLM-L6-v2,800,80,baseline_en_core,neutron,baseline,en,5,9,0.6281368136405945,0.5538701415061951,0.7,1
sentence-transformers/all-MiniLM-L6-v2,800,80,baseline_en_core,neutron,baseline,en,10,0,0.6281368136405945,0.543728232383728,1.0,1
sentence-transformers/all-MiniLM-L6-v2,800,80,baseline_en_core,neutron,baseline,en,10,1,0.6281368136405945,0.5619522333145142,0.6,1
sentence-transformers/all-MiniLM-L6-v2,800,80,baseline_en_core,neutron,baseline,en,10,2,0.6281368136405945,0.5782647132873535,0.5,1
sentence-transformers/all-MiniLM-L6-v2,800,80,baseline_en_core,neutron,baseline,en,10,3,0.6281368136405945,0.5522357225418091,0.7,1
sentence-transformers/all-MiniLM-L6-v2,800,80,baseline_en_core,neutron,baseline,en,10,4,0.6281368136405945,0.5612775087356567,0.7,1
sentence-transformers/all-MiniLM-L6-v2,800,80,baseline_en_core,neutron,baseline,en,10,5,0.6281368136405945,0.5594643354415894,0.7,1
sentence-transformers/all-MiniLM-L6-v2,800,80,baseline_en_core,neutron,baseline,en,10,6,0.6281368136405945,0.5612775087356567,0.7,1
sentence-transformers/all-MiniLM-L6-v2,800,80,baseline_en_core,neutron,baseline,en,10,7,0.6384793519973755,0.6057947874069214,0.3,2
sentence-transformers/all-MiniLM-L6-v2,800,80,baseline_en_core,neutron,baseline,en,10,8,0.6281368136405945,0.5610064268112183,0.7,1
sentence-transformers/all-MiniLM-L6-v2,800,80,baseline_en_core,neutron,baseline,en,10,9,0.6281368136405945,0.5620396733283997,0.6,1
sentence-transformers/all-MiniLM-L6-v2,800,80,baseline_en_core,neutron,baseline,en,15,0,0.6384793519973755,0.6019662618637085,0.3,2
sentence-transformers/all-MiniLM-L6-v2,800,80,baseline_en_core,neutron,baseline,en,15,1,0.6384793519973755,0.6057947874069214,0.3,2
sentence-transformers/all-MiniLM-L6-v2,800,80,baseline_en_core,neutron,baseline,en,15,2,0.6281368136405945,0.5538701415061951,0.7,1
sentence-transformers/all-MiniLM-L6-v2,800,80,baseline_en_core,neutron,baseline,en,15,3,0.6281368136405945,0.5580787658691406,0.6,1
sentence-transformers/all-MiniLM-L6-v2,800,80,baseline_en_core,neutron,baseline,en,15,4,0.6281368136405945,0.5732635259628296,0.5,1
sentence-transformers/all-MiniLM-L6-v2,800,80,baseline_en_core,neutron,baseline,en,15,5,0.6281368136405945,0.5624611377716064,0.6,1
sentence-transformers/all-MiniLM-L6-v2,800,80,baseline_en_core,neutron,baseline,en,15,6,0.6384793519973755,0.6083491444587708,0.3,2
sentence-transformers/all-MiniLM-L6-v2,800,80,baseline_en_core,neutron,baseline,en,15,7,0.6281368136405945,0.5659355521202087,0.6,1
sentence-transformers/all-MiniLM-L6-v2,800,80,baseline_en_core,neutron,baseline,en,15,8,0.6281368136405945,0.5657237768173218,0.6,1
sentence-transformers/all-MiniLM-L6-v2,800,80,baseline_en_core,neutron,baseline,en,15,9,0.6384793519973755,0.6019662618637085,0.3,2
sentence-transformers/all-MiniLM-L6-v2,800,80,baseline_en_core,neutron,baseline,en,20,0,0.6281368136405945,0.5694475769996643,0.6,1
sentence-transformers/all-MiniLM-L6-v2,800,80,baseline_en_core,neutron,baseline,en,20,1,0.6281368136405945,0.5797092318534851,0.5,1
sentence-transformers/all-MiniLM-L6-v2,800,80,baseline_en_core,neutron,baseline,en,20,2,0.6281368136405945,0.5846782922744751,0.4,1
sentence-transformers/all-MiniLM-L6-v2,800,80,baseline_en_core,neutron,baseline,en,20,3,0.6384793519973755,0.6057947874069214,0.3,2
sentence-transformers/all-MiniLM-L6-v2,800,80,baseline_en_core,neutron,baseline,en,20,4,0.6281368136405945,0.5808277130126953,0.4,1
sentence-transformers/all-MiniLM-L6-v2,800,80,baseline_en_core,neutron,baseline,en,20,5,0.6281368136405945,0.5857218503952026,0.3,1
sentence-transformers/all-MiniLM-L6-v2,800,80,baseline_en_core,neutron,baseline,en,20,6,0.6384793519973755,0.6043362021446228,0.3,2
sentence-transformers/all-MiniLM-L6-v2,800,80,baseline_en_core,neutron,baseline,en,20,7,0.6384793519973755,0.6080220341682434,0.3,2
sentence-transformers/all-MiniLM-L6-v2,800,80,baseline_en_core,neutron,baseline,en,20,8,0.6384793519973755,0.606423020362854,0.3,2
sentence-transformers/all-MiniLM-L6-v2,800,80,baseline_en_core,neutron,baseline,en,20,9,0.6281368136405945,0.5641524195671082,0.6,1
sentence-transformers/all-MiniLM-L6-v2,800,80,baseline_en_core,neutron,baseline,en,25,0,0.6281368136405945,0.5808277130126953,0.4,1
sentence-transformers/all-MiniLM-L6-v2,800,80,baseline_en_core,neutron,baseline,en,25,1,0.6384793519973755,0.6043362021446228,0.3,2
sentence-transformers/all-MiniLM-L6-v2,800,80,baseline_en_core,neutron,baseline,en,25,2,0.6384793519973755,0.6083491444587708,0.3,2
sentence-transformers/all-MiniLM-L6-v2,800,80,baseline_en_core,neutron,baseline,en,25,3,0.6281368136405945,0.5743820667266846,0.4,1
sentence-transformers/all-MiniLM-L6-v2,800,80,baseline_en_core,neutron,baseline,en,25,4,0.6281368136405945,0.5563324689865112,0.7,1
sentence-transformers/all-MiniLM-L6-v2,800,80,baseline_en_core,neutron,baseline,en,25,5,0.6384793519973755,0.6046633124351501,0.3,2
sentence-transformers/all-MiniLM-L6-v2,800,80,baseline_en_core,neutron,baseline,en,25,6,0.6281368136405945,0.5832337141036987,0.4,1
sentence-transformers/all-MiniLM-L6-v2,800,80,baseline_en_core,neutron,baseline,en,25,7,0.6281368136405945,0.5712656378746033,0.6,1
sentence-transformers/all-MiniLM-L6-v2,800,80,baseline_en_core,neutron,baseline,en,25,8,0.6281368136405945,0.566062331199646,0.6,1
sentence-transformers/all-MiniLM-L6-v2,800,80,baseline_en_core,neutron,baseline,en,25,9,0.6384793519973755,0.6083491444587708,0.3,2
sentence-transformers/all-MiniLM-L6-v2,800,80,baseline_en_core,neutron,baseline,en,30,0,0.6384793519973755,0.6081947684288025,0.3,2
sentence-transformers/all-MiniLM-L6-v2,800,80,baseline_en_core,neutron,baseline,en,30,1,0.6384793519973755,0.6083491444587708,0.3,2
sentence-transformers/all-MiniLM-L6-v2,800,80,baseline_en_core,neutron,baseline,en,30,2,0.6384793519973755,0.6080220341682434,0.3,2
sentence-transformers/all-MiniLM-L6-v2,800,80,baseline_en_core,neutron,baseline,en,30,3,0.6281368136405945,0.5642905831336975,0.6,1
sentence-transformers/all-MiniLM-L6-v2,800,80,baseline_en_core,neutron,baseline,en,30,4,0.6281368136405945,0.5808277130126953,0.4,1
sentence-transformers/all-MiniLM-L6-v2,800,80,baseline_en_core,neutron,baseline,en,30,5,0.6281368136405945,0.5857218503952026,0.3,1
sentence-transformers/all-MiniLM-L6-v2,800,80,baseline_en_core,neutron,baseline,en,30,6,0.6281368136405945,0.5709384679794312,0.6,1
sentence-transformers/all-MiniLM-L6-v2,800,80,baseline_en_core,neutron,baseline,en,30,7,0.6281368136405945,0.5680029988288879,0.6,1
sentence-transformers/all-MiniLM-L6-v2,800,80,baseline_en_core,neutron,baseline,en,30,8,0.6384793519973755,0.6083491444587708,0.3,2
sentence-transformers/all-MiniLM-L6-v2,800,80,baseline_en_core,neutron,baseline,en,30,9,0.6384793519973755,0.6057947874069214,0.3,2
sentence-transformers/all-MiniLM-L6-v2,800,80,baseline_en_core,neutron,baseline,en,35,0,0.6384793519973755,0.6083491444587708,0.3,2
sentence-transformers/all-MiniLM-L6-v2,800,80,baseline_en_core,neutron,baseline,en,35,1,0.6384793519973755,0.6067501306533813,0.3,2
sentence-transformers/all-MiniLM-L6-v2,800,80,baseline_en_core,neutron,baseline,en,35,2,0.6281368136405945,0.5898995995521545,0.3,1
sentence-transformers/all-MiniLM-L6-v2,800,80,baseline_en_core,neutron,baseline,en,35,3,0.6384793519973755,0.6067501306533813,0.3,2
sentence-transformers/all-MiniLM-L6-v2,800,80,baseline_en_core,neutron,baseline,en,35,4,0.6384793519973755,0.6083491444587708,0.3,2
sentence-transformers/all-MiniLM-L6-v2,800,80,baseline_en_core,neutron,baseline,en,35,5,0.6384793519973755,0.606423020362854,0.3,2
sentence-transformers/all-MiniLM-L6-v2,800,80,baseline_en_core,neutron,baseline,en,35,6,0.6384793519973755,0.6083491444587708,0.3,2
sentence-transformers/all-MiniLM-L6-v2,800,80,baseline_en_core,neutron,baseline,en,35,7,0.6384793519973755,0.6083491444587708,0.3,2
sentence-transformers/all-MiniLM-L6-v2,800,80,baseline_en_core,neutron,baseline,en,35,8,0.6384793519973755,0.6065773963928223,0.3,2
sentence-transformers/all-MiniLM-L6-v2,800,80,baseline_en_core,neutron,baseline,en,35,9,0.6384793519973755,0.606423020362854,0.3,2
sentence-transformers/all-MiniLM-L6-v2,800,80,baseline_en_core,neutron,baseline,en,40,0,0.6281368136405945,0.5898995995521545,0.3,1
sentence-transformers/all-MiniLM-L6-v2,800,80,baseline_en_core,neutron,baseline,en,40,1,0.6384793519973755,0.6081947684288025,0.3,2
sentence-transformers/all-MiniLM-L6-v2,800,80,baseline_en_core,neutron,baseline,en,40,2,0.6384793519973755,0.6083491444587708,0.3,2
sentence-transformers/all-MiniLM-L6-v2,800,80,baseline_en_core,neutron,baseline,en,40,3,0.6281368136405945,0.5842772722244263,0.3,1
sentence-transformers/all-MiniLM-L6-v2,800,80,baseline_en_core,neutron,baseline,en,40,4,0.6384793519973755,0.6057947874069214,0.3,2
sentence-transformers/all-MiniLM-L6-v2,800,80,baseline_en_core,neutron,baseline,en,40,5,0.6384793519973755,0.6067501306533813,0.3,2
sentence-transformers/all-MiniLM-L6-v2,800,80,baseline_en_core,neutron,baseline,en,40,6,0.6384793519973755,0.6081947684288025,0.3,2
sentence-transformers/all-MiniLM-L6-v2,800,80,baseline_en_core,neutron,baseline,en,40,7,0.6384793519973755,0.6083491444587708,0.3,2
sentence-transformers/all-MiniLM-L6-v2,800,80,baseline_en_core,neutron,baseline,en,40,8,0.6384793519973755,0.6083491444587708,0.3,2
